Village_ID,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
V01,0.0,61.596,86.9202,65.0266,52.6421,90.7912,94.6886,27.711,70.9802,68.4901,89.126,54.512,22.9428,71.2042,55.5365,80.7775,61.3411,62.0398,104.881,43.7063
V02,61.596,0.0,44.118,31.7978,25.1225,40.0001,33.8221,44.2573,40.8844,7.0272,40.9685,52.4226,57.6993,24.6343,34.9478,38.071,10.4619,14.2797,48.5517,24.075
V03,86.9202,44.118,0.0,21.8982,34.7422,74.6965,37.5142,60.052,18.2196,40.9111,7.9223,43.7647,71.1773,19.8685,32.1196,6.5856,34.994,58.0461,27.923,44.722
V04,65.0266,31.7978,21.8982,0.0,13.4489,69.8612,43.7815,38.2537,9.3643,32.1651,25.1052,27.2065,49.8742,12.5449,10.9963,15.9458,21.3474,45.8114,44.1438,23.668
V05,52.6421,25.1225,34.7422,13.4489,0.0,65.1013,47.8075,27.2395,21.8977,28.3598,36.4844,27.3117,40.1242,19.0638,10.2509,28.3659,16.379,37.5075,53.2731,10.2194
V06,90.7912,40.0001,74.6965,69.8612,65.1013,0.0,42.3851,81.2431,78.0453,37.7481,68.4283,92.412,93.8536,59.3636,74.7344,70.4181,49.4077,30.5144,63.1855,63.0842
V07,94.6886,33.8221,37.5142,43.7815,47.8075,42.3851,0.0,73.7459,48.3454,26.8074,29.8739,70.9323,87.1954,31.3007,53.383,35.7663,33.8841,40.9048,20.8665,52.9069
V08,27.711,44.2573,60.052,38.2537,27.2395,81.2431,73.7459,0.0,43.462,50.1332,63.0843,28.1975,13.5609,46.2997,28.1354,54.194,40.0354,50.7429,80.511,20.9607
V09,70.9802,40.8844,18.2196,9.3643,21.8977,78.0453,48.3454,43.462,0.0,40.641,24.0556,25.6841,53.653,18.9317,15.4686,14.4695,30.4267,55.0117,44.5618,31.939
V10,68.4901,7.0272,40.9111,32.1651,28.3598,37.7481,26.8074,50.1332,40.641,0.0,36.7326,55.4154,63.6682,22.6389,37.3726,35.3626,12.0291,17.6291,42.2319,29.4212
V11,89.126,40.9685,7.9223,25.1052,36.4844,68.4283,29.8739,63.0843,24.0556,36.7326,0.0,49.6835,74.9717,18.7267,36.014,9.6969,33.0263,54.29,20.6334,45.8516
V12,54.512,52.4226,43.7647,27.2065,27.3117,92.412,70.9323,28.1975,25.6841,55.4154,49.6835,0.0,33.1074,39.6319,18.2216,40.0145,43.3915,64.2256,70.0244,31.5805
V13,22.9428,57.6993,71.1773,49.8742,40.1242,93.8536,87.1954,13.5609,53.653,63.6682,74.9717,33.1074,0.0,59.0361,39.1088,65.7193,53.5667,63.3638,93.1676,34.512
V14,71.2042,24.6343,19.8685,12.5449,19.0638,59.3636,31.3007,46.2997,18.9317,22.6389,18.7267,39.6319,59.0361,0.0,22.3035,13.5397,15.1316,38.8286,34.2114,27.5574
V15,55.5365,34.9478,32.1196,10.9963,10.2509,74.7344,53.383,28.1354,15.4686,37.3726,36.014,18.2216,39.1088,22.3035,0.0,26.6289,25.4032,47.7092,55.1059,18.3446
V16,80.7775,38.071,6.5856,15.9458,28.3659,70.4181,35.7663,54.194,14.4695,35.3626,9.6969,40.0145,65.7193,13.5397,26.6289,0.0,28.652,52.1596,30.0931,38.2503
V17,61.3411,10.4619,34.994,21.3474,16.379,49.4077,33.8841,40.0354,30.4267,12.0291,33.0263,43.3915,53.5667,15.1316,25.4032,28.652,0.0,24.6277,44.3331,19.0922
V18,62.0398,14.2797,58.0461,45.8114,37.5075,30.5144,40.9048,50.7429,55.0117,17.6291,54.29,64.2256,63.3638,38.8286,47.7092,52.1596,24.6277,0.0,58.8674,33.4161
V19,104.881,48.5517,27.923,44.1438,53.2731,63.1855,20.8665,80.511,44.5618,42.2319,20.6334,70.0244,93.1676,34.2114,55.1059,30.0931,44.3331,58.8674,0.0,61.2268
V20,43.7063,24.075,44.722,23.668,10.2194,63.0842,52.9069,20.9607,31.939,29.4212,45.8516,31.5805,34.512,27.5574,18.3446,38.2503,19.0922,33.4161,61.2268,0.0
